OrderID,CustomerID,ExpiryDays,Product,Category,Price,Quantity,OrderDate,Revenue
608,C020,165.00,Perfume,Beauty,9382.66,3,2023-12-09,28147.98
444,C147,195.00,Jacket,Fashion,3930.00,2,2023-06-14,7860.00
318,C149,210.00,Cycle,Sports,14130.00,1,2023-10-11,14130.00
231,C142,,Jeans,Fashion,1280.00,1,2023-04-23,1280.00
616,C058,195.00,Racket,Sports,1660.00,1,2023-02-11,1660.00
358,C083,150.00,Lipstick,Beauty,390.00,3,2023-12-24,1170.00
526,C031,210.00,Serum,Beauty,1320.00,1,2023-02-19,1320.00
341,C069,135.00,Sunscreen,Beauty,570.00,1,2023-03-31,570.00
469,C002,335.00,Headphones,Electronics,2950.00,3,2023-01-10,8850.00
498,C017,225.00,Jeans,Fashion,1580.00,1,2023-05-29,1580.00
332,C021,335.00,Phone,Electronics,28810.00,1,2023-03-30,28810.00
521,C101,240.00,Shoes,Sports,3510.00,1,2023-05-04,3510.00
271,C030,240.00,Racket,Sports,2060.00,1,2023-10-23,2060.00
517,C069,315.00,Lamp,Home,9382.66,1,2023-03-14,9382.66
325,C004,365.00,Headphones,Electronics,2640.00,1,2023-08-29,2640.00
432,C118,225.00,Jeans,Fashion,1350.00,2,2023-07-05,2700.00
256,C054,210.00,Moisturiser,Beauty,650.00,2,2023-04-15,1300.00
277,C149,315.00,Curtains,Home,1100.00,2,2023-06-14,2200.00
240,C139,255.00,Shoes,Fashion,2090.00,2,2023-02-17,4180.00
274,C105,195.00,Jeans,Fashion,1500.00,1,2023-12-23,1500.00
279,C086,270.00,Jeans,Fashion,1510.00,1,2023-05-01,1510.00
353,C063,165.00,Yoga Mat,Sports,920.00,1,2023-03-16,920.00
210,C094,240.00,Jacket,Fashion,3270.00,1,2023-07-01,3270.00
314,C091,330.00,Lamp,Home,800.00,2,2023-06-24,1600.00
617,C097,195.00,Shoes,Fashion,1940.00,1,2023-01-29,1940.00
597,C049,330.00,Sofa,Home,18270.00,4,2023-03-02,73080.00
487,C027,335.00,Camera,Electronics,42220.00,1,2023-12-05,42220.00
338,C120,135.00,Serum,Beauty,1180.00,2,2023-12-25,2360.00
411,C022,210.00,Shoes,Sports,3510.00,1,2023-02-19,3510.00
448,C014,240.00,Yoga Mat,Sports,870.00,2,2023-11-28,1740.00
535,C098,210.00,Sunscreen,Beauty,540.00,1,2023-12-15,540.00
539,C045,,Racket,Sports,1730.00,1,2023-09-30,1730.00
317,C005,165.00,Yoga Mat,Sports,790.00,1,2023-04-24,790.00
276,C104,365.00,Camera,Electronics,45930.00,1,2023-01-01,45930.00
555,C086,300.00,Mixer,Home,3300.00,1,2023-11-25,3300.00
596,C054,135.00,Sunscreen,Beauty,460.00,3,2023-06-20,1380.00
496,C055,270.00,Curtains,Home,1270.00,4,2023-05-27,5080.00
278,C055,165.00,Yoga Mat,Sports,790.00,1,2023-03-28,790.00
359,C106,,Camera,Electronics,43420.00,1,2023-08-31,43420.00
364,C137,225.00,Shoes,Sports,4420.00,1,2023-06-12,4420.00
354,C131,210.00,Cycle,Sports,16900.00,2,2023-03-11,33800.00
273,C085,335.00,Tablet,Electronics,24480.00,2,2023-12-06,48960.00
426,C015,270.00,T-shirt,Fashion,480.00,1,2023-06-04,480.00
600,C132,255.00,Curtains,Home,1110.00,3,2023-08-27,3330.00
556,C035,165.00,Sunscreen,Beauty,500.00,3,2023-08-28,1500.00
423,C109,210.00,Shoes,Fashion,1860.00,1,2023-08-15,1860.00
386,C121,270.00,Sofa,Home,9382.66,1,2023-10-15,9382.66
599,C098,180.00,Serum,Beauty,1300.00,1,2023-11-29,1300.00
280,C038,270.00,Lamp,Home,870.00,1,2023-05-06,870.00
234,C147,150.00,Moisturiser,Beauty,750.00,1,2023-05-05,750.00
381,C070,195.00,Serum,Beauty,1210.00,2,2023-05-12,2420.00
511,C148,270.00,Shoes,Fashion,1750.00,1,2023-04-18,1750.00
283,C028,365.00,Laptop,Electronics,67070.00,2,2023-04-23,134140.00
557,C085,285.00,Lamp,Home,870.00,1,2023-08-23,870.00
212,C098,180.00,Moisturiser,Beauty,630.00,1,2023-11-24,630.00
595,C011,195.00,Jeans,Fashion,1440.00,3,2023-04-07,4320.00
216,C064,165.00,Cycle,Sports,13940.00,2,2023-10-03,27880.00
302,C062,350.00,Laptop,Electronics,62180.00,1,2023-12-09,62180.00
412,C144,,Lamp,Home,810.00,1,2023-12-10,810.00
201,C063,,Shoes,Fashion,2140.00,1,2023-02-22,2140.00
220,C003,165.00,Serum,Beauty,1370.00,2,2023-02-28,2740.00
488,C110,285.00,Curtains,Home,1180.00,1,2023-08-16,1180.00
497,C019,240.00,Cycle,Sports,13300.00,1,2023-08-16,13300.00
257,C014,285.00,Mixer,Home,3190.00,1,2023-08-05,3190.00
554,C075,240.00,Cycle,Sports,16960.00,3,2023-01-05,50880.00
543,C147,195.00,Serum,Beauty,1120.00,2,2023-07-14,2240.00
563,C061,,Jeans,Fashion,1570.00,1,2023-03-02,1570.00
492,C146,365.00,Tablet,Electronics,23970.00,1,2023-03-20,23970.00
291,C120,180.00,Yoga Mat,Sports,760.00,1,2023-04-16,760.00
582,C029,365.00,Tablet,Electronics,22660.00,1,2023-12-05,22660.00
226,C146,270.00,Lamp,Home,690.00,3,2023-02-13,2070.00
479,C087,365.00,Laptop,Electronics,57340.00,2,2023-03-31,114680.00
404,C126,210.00,Yoga Mat,Sports,840.00,2,2023-08-16,1680.00
415,C028,365.00,Headphones,Electronics,2750.00,1,2023-10-12,2750.00
243,C143,315.00,Rug,Home,2650.00,2,2023-09-07,5300.00
376,C013,180.00,Dumbbells,Sports,1700.00,3,2023-09-12,5100.00
294,C140,225.00,Racket,Sports,1930.00,2,2023-04-23,3860.00
587,C083,285.00,Mixer,Home,3290.00,1,2023-03-15,3290.00
382,C087,225.00,Dumbbells,Sports,2150.00,2,2023-08-28,4300.00
333,C105,,Perfume,Beauty,2240.00,1,2023-11-01,2240.00
490,C104,300.00,Sofa,Home,17450.00,1,2023-12-14,17450.00
223,C077,,Perfume,Beauty,2780.00,2,2023-09-17,5560.00
247,C061,150.00,Perfume,Beauty,2630.00,1,2023-10-19,2630.00
405,C038,210.00,Shoes,Fashion,1890.00,1,2023-05-21,1890.00
578,C139,240.00,Shoes,Sports,4220.00,1,2023-06-28,4220.00
572,C132,240.00,Shoes,Sports,3940.00,1,2023-10-16,3940.00
513,C078,150.00,Serum,Beauty,1250.00,1,2023-12-17,1250.00
258,C034,330.00,Sofa,Home,17020.00,2,2023-05-15,34040.00
366,C112,255.00,Lamp,Home,860.00,4,2023-11-21,3440.00
225,C005,225.00,Watch,Fashion,4740.00,1,2023-07-05,4740.00
218,C013,365.00,Camera,Electronics,44910.00,3,2023-03-20,134730.00
267,C103,320.00,Laptop,Electronics,62880.00,1,2023-02-05,62880.00
349,C125,330.00,Rug,Home,2790.00,1,2023-11-19,2790.00
450,C086,300.00,Mixer,Home,3560.00,1,2023-12-06,3560.00
232,C016,270.00,Shoes,Fashion,2120.00,1,2023-01-17,2120.00
285,C136,165.00,Cycle,Sports,16360.00,4,2023-11-01,65440.00
508,C142,315.00,Lamp,Home,830.00,1,2023-11-17,830.00
607,C139,225.00,Cycle,Sports,16880.00,4,2023-01-31,67520.00
590,C107,210.00,Racket,Sports,1700.00,1,2023-06-03,1700.00
472,C118,,T-shirt,Fashion,490.00,1,2023-09-13,490.00
295,C125,,Cycle,Sports,13980.00,1,2023-06-22,13980.00
594,C024,195.00,Jacket,Fashion,3860.00,1,2023-04-08,3860.00
500,C036,350.00,Laptop,Electronics,68730.00,1,2023-09-10,68730.00
377,C091,285.00,Lamp,Home,830.00,1,2023-04-08,830.00
449,C143,270.00,Sofa,Home,18980.00,2,2023-05-26,37960.00
393,C092,300.00,Mixer,Home,3590.00,1,2023-05-22,3590.00
305,C080,315.00,Sofa,Home,20470.00,1,2023-07-12,20470.00
575,C016,270.00,Sofa,Home,20250.00,3,2023-02-05,60750.00
206,C092,195.00,Shoes,Fashion,1930.00,2,2023-11-06,3860.00
246,C021,365.00,Laptop,Electronics,68290.00,3,2023-02-05,204870.00
552,C010,195.00,Moisturiser,Beauty,710.00,3,2023-03-31,2130.00
506,C043,255.00,Watch,Fashion,4480.00,1,2023-12-30,4480.00
598,C053,180.00,Cycle,Sports,15880.00,1,2023-05-03,15880.00
482,C140,285.00,Mixer,Home,3100.00,1,2023-01-19,3100.00
217,C150,315.00,Mixer,Home,3130.00,1,2023-04-23,3130.00
327,C019,255.00,Shoes,Fashion,1940.00,1,2023-12-18,1940.00
204,C072,180.00,Lipstick,Beauty,370.00,2,2023-01-04,740.00
219,C099,320.00,Headphones,Electronics,9382.66,1,2023-08-28,9382.66
374,C124,330.00,Lamp,Home,920.00,1,2023-07-15,920.00
261,C094,165.00,Cycle,Sports,12940.00,3,2023-01-21,38820.00
419,C145,210.00,T-shirt,Fashion,560.00,2,2023-02-05,1120.00
428,C098,210.00,Yoga Mat,Sports,720.00,1,2023-04-28,720.00
525,C019,335.00,Tablet,Electronics,25400.00,1,2023-08-19,25400.00
264,C086,210.00,Shoes,Sports,3620.00,2,2023-07-30,7240.00
311,C120,180.00,Sunscreen,Beauty,540.00,1,2023-10-31,540.00
485,C128,195.00,Dumbbells,Sports,2280.00,2,2023-07-08,4560.00
421,C080,225.00,Dumbbells,Sports,1790.00,2,2023-10-18,3580.00
230,C116,255.00,Rug,Home,2800.00,1,2023-04-26,2800.00
499,C045,270.00,Lamp,Home,850.00,2,2023-09-18,1700.00
486,C109,195.00,Serum,Beauty,1310.00,1,2023-11-05,1310.00
227,C137,195.00,Shoes,Sports,4570.00,2,2023-03-07,9140.00
208,C093,240.00,Watch,Fashion,4690.00,1,2023-12-27,4690.00
610,C096,195.00,T-shirt,Fashion,500.00,1,2023-11-23,500.00
309,C028,195.00,Jacket,Fashion,3840.00,1,2023-07-05,3840.00
430,C020,,Shoes,Sports,3950.00,3,2023-10-22,11850.00
241,C124,320.00,Phone,Electronics,30130.00,1,2023-07-25,30130.00
319,C141,210.00,Serum,Beauty,1170.00,1,2023-12-26,1170.00
315,C071,300.00,Mixer,Home,3390.00,1,2023-09-22,3390.00
586,C060,335.00,Camera,Electronics,51660.00,2,2023-10-22,103320.00
356,C077,315.00,Sofa,Home,18700.00,2,2023-10-24,37400.00
533,C007,270.00,Jacket,Fashion,3590.00,1,2023-05-16,3590.00
355,C107,195.00,Jeans,Fashion,1620.00,1,2023-09-17,1620.00
373,C109,270.00,Mixer,Home,3010.00,2,2023-08-22,6020.00
602,C057,300.00,Rug,Home,2160.00,2,2023-01-09,4320.00
342,C072,225.00,Racket,Sports,1880.00,1,2023-10-27,1880.00
601,C082,210.00,Jacket,Fashion,3770.00,3,2023-07-09,11310.00
619,C011,195.00,Perfume,Beauty,2800.00,1,2023-12-21,2800.00
369,C047,180.00,Lipstick,Beauty,410.00,1,2023-02-10,410.00
447,C041,225.00,Racket,Sports,1810.00,1,2023-05-25,1810.00
310,C134,180.00,Cycle,Sports,14710.00,4,2023-05-19,58840.00
400,C108,365.00,Tablet,Electronics,21640.00,1,2023-02-02,21640.00
346,C104,270.00,Curtains,Home,1140.00,3,2023-01-01,3420.00
566,C117,365.00,Phone,Electronics,30800.00,2,2023-11-07,61600.00
611,C005,,Lipstick,Beauty,420.00,1,2023-10-10,420.00
394,C117,335.00,Laptop,Electronics,68080.00,1,2023-04-19,68080.00
284,C143,350.00,Camera,Electronics,44520.00,1,2023-03-04,44520.00
397,C001,350.00,Tablet,Electronics,27060.00,1,2023-03-16,27060.00
435,C030,300.00,Lamp,Home,700.00,1,2023-04-10,700.00
275,C108,285.00,Mixer,Home,2840.00,2,2023-07-14,5680.00
606,C091,180.00,Yoga Mat,Sports,720.00,1,2023-10-07,720.00
559,C104,320.00,Phone,Electronics,32030.00,2,2023-09-21,64060.00
571,C150,225.00,Shoes,Sports,4220.00,1,2023-09-19,4220.00
320,C060,195.00,Dumbbells,Sports,1880.00,1,2023-04-09,1880.00
451,C101,365.00,Tablet,Electronics,23580.00,1,2023-12-29,23580.00
467,C082,255.00,Jeans,Fashion,1380.00,3,2023-11-29,4140.00
584,C013,255.00,Watch,Fashion,4300.00,1,2023-01-23,4300.00
518,C099,195.00,Shoes,Fashion,1870.00,3,2023-08-03,5610.00
463,C027,225.00,Dumbbells,Sports,2030.00,2,2023-09-22,4060.00
512,C008,210.00,Lipstick,Beauty,410.00,1,2023-11-18,410.00
615,C102,255.00,Curtains,Home,1120.00,1,2023-07-27,1120.00
592,C015,270.00,Lamp,Home,870.00,1,2023-08-02,870.00
550,C122,365.00,Headphones,Electronics,3140.00,1,2023-04-13,3140.00
237,C087,255.00,Shoes,Fashion,1940.00,2,2023-02-25,3880.00
340,C065,210.00,Jacket,Fashion,3750.00,1,2023-04-28,3750.00
409,C103,,Dumbbells,Sports,2200.00,1,2023-02-18,2200.00
396,C142,195.00,Moisturiser,Beauty,610.00,1,2023-04-21,610.00
454,C055,270.00,Curtains,Home,1080.00,1,2023-09-06,1080.00
308,C018,165.00,Lipstick,Beauty,420.00,1,2023-06-24,420.00
260,C095,,T-shirt,Fashion,510.00,1,2023-03-17,510.00
312,C023,255.00,Curtains,Home,9382.66,1,2023-08-19,9382.66
409,C103,225.00,Dumbbells,Sports,2200.00,1,2023-02-18,2200.00
503,C148,210.00,Lipstick,Beauty,430.00,1,2023-06-12,430.00
207,C138,330.00,Sofa,Home,21380.00,1,2023-07-13,21380.00
524,C103,255.00,Rug,Home,2400.00,1,2023-10-15,2400.00
576,C047,210.00,Shoes,Sports,3740.00,2,2023-11-25,7480.00
359,C106,365.00,Camera,Electronics,43420.00,1,2023-08-31,43420.00
351,C030,165.00,Shoes,Sports,3670.00,1,2023-03-02,3670.00
378,C036,195.00,Serum,Beauty,1260.00,2,2023-11-18,2520.00
385,C068,255.00,Jacket,Fashion,3360.00,1,2023-11-23,3360.00
211,C019,365.00,Tablet,Electronics,26510.00,2,2023-03-29,53020.00
446,C011,210.00,Watch,Fashion,5220.00,1,2023-08-13,5220.00
304,C030,335.00,Camera,Electronics,46450.00,2,2023-03-25,92900.00
282,C099,195.00,Moisturiser,Beauty,750.00,1,2023-05-05,750.00
239,C020,300.00,Rug,Home,2310.00,1,2023-10-09,2310.00
481,C052,195.00,Jeans,Fashion,1370.00,3,2023-06-11,4110.00
368,C096,270.00,Sofa,Home,18760.00,1,2023-05-06,18760.00
537,C053,315.00,Rug,Home,2240.00,1,2023-11-10,2240.00
399,C061,,Laptop,Electronics,57450.00,1,2023-01-09,57450.00
593,C063,180.00,Sunscreen,Beauty,450.00,1,2023-06-19,450.00
562,C078,225.00,Dumbbells,Sports,2270.00,1,2023-10-21,2270.00
410,C066,255.00,Rug,Home,2360.00,1,2023-03-20,2360.00
395,C086,210.00,Perfume,Beauty,2160.00,1,2023-03-06,2160.00
290,C040,365.00,Phone,Electronics,28500.00,2,2023-02-02,57000.00
445,C016,195.00,Lipstick,Beauty,400.00,1,2023-06-25,400.00
440,C018,285.00,Curtains,Home,1070.00,1,2023-11-20,1070.00
348,C053,225.00,Yoga Mat,Sports,860.00,1,2023-03-09,860.00
203,C144,365.00,Camera,Electronics,46380.00,1,2023-11-29,46380.00
293,C091,210.00,Lipstick,Beauty,400.00,1,2023-07-19,400.00
561,C002,210.00,Dumbbells,Sports,2260.00,1,2023-05-01,2260.00
270,C089,210.00,Shoes,Fashion,2060.00,2,2023-06-10,4120.00
456,C135,150.00,Sunscreen,Beauty,550.00,1,2023-06-22,550.00
324,C014,150.00,Moisturiser,Beauty,650.00,1,2023-12-24,650.00
532,C005,,Serum,Beauty,1190.00,1,2023-12-11,1190.00
297,C007,195.00,Jacket,Fashion,3600.00,1,2023-08-08,3600.00
344,C085,270.00,Sofa,Home,22150.00,1,2023-09-11,22150.00
541,C058,365.00,Tablet,Electronics,25440.00,3,2023-06-02,76320.00
522,C013,365.00,Camera,Electronics,43010.00,1,2023-11-02,43010.00
438,C127,225.00,T-shirt,Fashion,570.00,1,2023-10-16,570.00
298,C067,335.00,Headphones,Electronics,2710.00,1,2023-04-19,2710.00
476,C130,180.00,Sunscreen,Beauty,540.00,1,2023-07-19,540.00
269,C067,270.00,Sofa,Home,17690.00,1,2023-05-16,17690.00
224,C042,135.00,Moisturiser,Beauty,630.00,1,2023-09-29,630.00
238,C115,320.00,Phone,Electronics,28120.00,1,2023-04-04,28120.00
345,C141,270.00,Rug,Home,2740.00,1,2023-02-15,2740.00
323,C046,365.00,Tablet,Electronics,22960.00,1,2023-12-29,22960.00
